#KILLALLZOMBIES (Europe) (PSN)	PCSB01049
#KILLALLZOMBIES (USA) (PSN)	PCSE00965
#KILLALLZOMBIES Companion App (Europe) (PSN)	PCSB00856
& - Sora no Mukou de Saki Masuyou ni (Japan) (Card)	PCSG00239
10 Second Ninja X (Europe) (PSN)	PCSB00963
10 Second Ninja X (USA) (PSN)	PCSE00890
1001 Spikes (Europe) (PSN)	PCSB00684
1001 Spikes (Japan) (PSN)	PCSG00778
1001 Spikes (USA) (PSN)	PCSE00349
12-Toki no Kane to Cinderella Series Triple Zenkan Pack (Japan) (Card)	PCSG00561
2013 - Infected Wars (Europe) (PSN)	PCSB00842
2013 - Infected Wars (USA) (PSN)	PCSE00634
2064 - Read Only Memories (Europe) (PSN)	PCSB01034
2064 - Read Only Memories (Japan) (PSN)	PCSG01137
2064 - Read Only Memories (USA) (Card)	PCSE00972
36 Fragments of Midnight (Asia) (PSN)	PCSH10119
36 Fragments of Midnight (Europe) (PSN)	PCSB01184
36 Fragments of Midnight (USA) (PSN)	PCSE01169
5-nin no Koi Prince - Himitsu no Keiyaku Kekkon (Japan) (Card)	PCSG00590
7'scarlet (Europe) (Card)	PCSB01176
7'scarlet (Japan) (Card)	PCSG00876
7'scarlet (Korea) (Card)	PCSH10090
7'scarlet (USA) (Card)	PCSE01168
88 Heroes (Asia) (Card)	PCSH10284
99Vidas (Europe) (Card)	PCSB01220
99Vidas (Europe) (PSN)	PCSB01173
99Vidas (USA) (PSN)	PCSE00914
@Simple V Series Vol.1 - The Dokodemo Gal Mahjong (Japan) (PSN)	PCSG00332
@Simple V Series Vol.2 - The Tousou Highway Full Boost - Nagoya-Tokyo Gekisou 4-Jikan (Japan) (PSN)	PCSG00329
@field (Japan) (Card)	PCSG00022
A Boy and His Blob (Europe) (PSN)	PCSB00811
A Boy and His Blob (USA) (PSN)	PCSE00726
A Certain Magical Virtual-On (Asia) (Card)	PCSH10075
A Certain Magical Virtual-On (Korea) (Card)	PCSH10074
A Hole New World (Asia) (Card)	PCSG01292
A Hole New World (Europe) (PSN)	PCSB01118
A Hole New World (USA) (PSN)	PCSE01095
A Rose in the Twilight (Europe) (Card)	PCSB01095
A Rose in the Twilight (USA) (Card)	PCSE01046
A Virus Named TOM (Europe) (PSN)	PCSB00955
A Virus Named TOM (USA) (PSN)	PCSE00501
A Winter's Daydream (Asia) (Card)	PCSH10317
A Winter's Daydream (Asia) (PSN)	PCSH10298
A Winter's Daydream (Europe) (PSN)	PCSB01346
A Winter's Daydream (USA) (PSN)	PCSE01389
A-Men (Europe) (PSN)	PCSB00056
A-Men (USA) (PSN)	PCSE00232
A-Men 2 (Europe) (PSN)	PCSB00222
A-Men 2 (USA) (PSN)	PCSE00324
A.W. Phoenix Festa (Asia) (Card)	PCSB00960
A.W. Phoenix Festa (USA) (PSN)	PCSE00871
AKB1 - 149 - Love Election (Japan) (Card)	PCSG00102
AR Combat DigiQ - Tomodachi Senshatai (Japan) (PSN)	PCSG00013
Aabs Animals (Europe) (PSN)	PCSB00384
Aabs Animals (Japan) (PSN)	PCSG00138
Aabs Animals (USA) (PSN)	PCSE00278
Abunai Koi no Sousashitsu - Eternal Happiness (Japan) (Card)	PCSG00591
Accel World vs. Sword Art Online (Asia) (Card)	PCSB01101
Accel World vs. Sword Art Online (USA) (PSN)	PCSE01071
Accel World vs. Sword Art Online - Millennium Twilight (Asia) (Card)	PCSH10038
Accel World vs. Sword Art Online - Millennium Twilight (Japan) (Card)	PCSG01016
Access Denied (Asia) (PSN)	PCSH10147
Access Denied (Europe) (PSN)	PCSB01315
Access Denied (USA) (PSN)	PCSE01356
Active Neurons (Europe) (PSN)	PCSB01412
Active Neurons (USA) (PSN)	PCSE01448
Active Soccer 2 DX (Europe) (PSN)	PCSB01008
Active Soccer 2 DX (USA) (PSN)	PCSE01093
Actual Sunlight (Europe) (PSN)	PCSB00858
Actual Sunlight (USA) (PSN)	PCSE00695
Adventure Time - Nameless Oukoku no Sannin no Princess (Japan) (Card)	PCSG00979
Adventure Time - The Secret of the Nameless Kingdom (USA) (PSN)	PCSE00582
Adventures of Mana (Europe) (PSN)	PCSB00975
Adventures of Mana (USA) (PSN)	PCSE00905
Aegis of Earth - Protonovus Assault (Europe) (Card)	PCSB00937
Aegis of Earth - Protonovus Assault (USA) (Card)	PCSE00844
Aerial Life (Japan) (PSN)	PCSG01296
